direction,category,animal_group,mortality_pct
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,при авиаперевозке,25.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,при автомобильной перевозке свыше 2000 километров,50.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,при комбинированной морской и автомобильной перевозке,75.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,"Яловое маточное поголовье, в процентах от осемененного или слученного маточного поголовья",50.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,"Абортировавшее маточное поголовье, в процентах от осемененного или слученного маточного поголовья",50.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,"Стельное маточное поголовье, от которого получен мертворожденный или травмированный приплод, в процентах от осемененного или слученного маточного поголовья",10.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,Телята от рождения до отъема в возрасте 6-8 месяцев,20.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,Молодняк на откорме после отъема до 15 месяцев,20.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,Ремонтный молодняк после отъема до 15 месяцев,15.0
Мясное и молочное скотоводство,Крупный рогатый скот мясного направления продуктивности,"Маточное поголовье в течение года (падеж, вынужденный забой)",20.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,при авиаперевозке,30.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,при автомобильной перевозке свыше 2000 километров,60.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,при комбинированной морской и автомобильной перевозке,90.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Телята от рождения до 20-дневного возраста,35.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Телочки от 20-дневного до 2-месячного возраста,25.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Телочки в возрасте от 2 до 6 месяцев,14.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Ремонтный молодняк в возрасте от 6 до 12 месяцев,10.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Ремонтный молодняк в возрасте от 12 до 20 месяцев,4.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Ремонтный молодняк в возрасте от 20 до 25 месяцев,15.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Бычки и телочки на откорме от 20-дневного до 2-месячного возраста,14.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Бычки и телочки на откорме в возрасте от 2 до 6 месяцев,35.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Молодняк на откорме в возрасте от 6 до 12 месяцев,14.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,Молодняк на откорме в возрасте от 12 до 18 месяцев,4.0
Мясное и молочное скотоводство,Крупный рогатый скот молочного направления продуктивности,"Маточное поголовье в течение года (падеж, вынужденный забой)",30.0
Овцеводство и козоводство,Овцы,Взрослые овцы,30.0
Овцеводство и козоводство,Овцы,Ягнята от рождения до отъема в возрасте 4 месяцев,50.0
Овцеводство и козоводство,Овцы,Ремонтный молодняк после отъема до 18 месяцев,20.0
Овцеводство и козоводство,Овцы,Откормочное поголовье,10.0
Овцеводство и козоводство,Козы,Взрослые козы,30.0
Овцеводство и козоводство,Козы,Козлята от рождения до отъема в возрасте 4 месяцев,50.0
Овцеводство и козоводство,Козы,Ремонтный молодняк после отъема до 18 месяцев,20.0
Овцеводство и козоводство,Козы,Откормочное поголовье,10.0
Коневодство,Лошади (табунное содержание),Жеребята в возрасте от рождения до отъема в возрасте 6-12 месяцев,23.0
Коневодство,Лошади (табунное содержание),"Молодняк (кобылки и жеребчики) после отъема до 1,5 лет",27.0
Коневодство,Лошади (табунное содержание),"Молодняк в возрасте от 1,5 до 3 лет",21.0
Коневодство,Лошади (конюшенное содержание),Жеребята в возрасте от рождения до отъема в возрасте 6-12 месяцев,3.0
Коневодство,Лошади (конюшенное содержание),"Молодняк (кобылки и жеребчики) после отъема до 1,5 лет",2.0
Коневодство,Лошади (конюшенное содержание),"Молодняк в возрасте от 1,5 до 3 лет",2.0
Верблюдоводство,Верблюды (пастбищное содержание),Верблюжата от рождения до отъема в возрасте 15 месяцев,60.0
Верблюдоводство,Верблюды (пастбищное содержание),Самки после отъема до 2 лет,17.0
Верблюдоводство,Верблюды (пастбищное содержание),Самцы после отъема до 2 лет,27.0
Верблюдоводство,Верблюды (пастбищное содержание),Самки в возрасте от 2 до 3 лет,9.0
Верблюдоводство,Верблюды (пастбищное содержание),Самцы в возрасте от 2 до 3 лет,6.0
Верблюдоводство,Верблюды (пастбищное содержание),Нагульное поголовье,10.0
Мараловодство,Маралы (крупностадное содержание),самочки,45.0
Мараловодство,Маралы (крупностадное содержание),самцы,53.0
Мараловодство,Маралы (крупностадное содержание),"Перворожки (самцы) от 1,5 до 2,5 лет",60.0
Мараловодство,Маралы (крупностадное содержание),"Маралушки (самки) от 1,5 до 2,5 лет",62.0
Мараловодство,Маралы (крупностадное содержание),"Рогачи старше 2,5 лет",20.0
Мараловодство,Маралы (крупностадное содержание),"Маралухи старше 2,5 лет",21.0
Мараловодство,Пятнистые олени (крупностадное содержание),самочки,35.0
Мараловодство,Пятнистые олени (крупностадное содержание),самцы,47.0
