oblast,nature_zone,eco_district,pasture_type,grazing_period_days,cattle_restored,cattle_degraded,sheep_goats_restored,sheep_goats_degraded,horses_restored,horses_degraded,camels_restored,camels_degraded
Абай,Степная,Сухая степь,Песчано-ковыльно-овсяницево-типчаковые,220.0,75.0,110.0,15.0,22.0,90.0,132.0,105.0,154.0
Абай,Степная,Сухая степь,Ковыльно-типчаково- полынные закустаренные,220.0,95.0,145.0,19.0,29.0,114.0,174.0,133.0,203.0
Абай,Степная,Сухая степь,"Вейнико-разнотравные, пырейные и тростниковые луга",220.0,80.0,120.0,16.0,24.0,96.0,144.0,122.0,168.0
Абай,Степная,Опустыненная степь,Ковыльно-типчаково-полынные,220.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Абай,Степная,Опустыненная степь,Тырсико-типчаково- кустарниковые,220.0,9.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Абай,Степная,Опустыненная степь,"Типчаково-ковыльно-полынные, местами закустаренные",220.0,125.0,185.0,25.0,37.0,150.0,222.0,175.0,259.0
Абай,Пустынная,Остепненная пустыня (полупустыня),Серополынно-ковыльно- типчаковые с эфемерами,225.0,160.0,250.0,32.0,50.0,192.0,300.0,224.0,350.0
Абай,Пустынная,Остепненная пустыня (полупустыня),Боялычево-полынные с кокпековыми и солянко-полынными на солонцах,225.0,180.0,265.0,36.0,53.0,216.0,318.0,252.0,370.0
Абай,Пустынная,Остепненная пустыня (полупустыня),Серополынно-боялычево-ковыльные,225.0,190.0,268.0,38.0,56.0,228.0,273.0,266.0,340.0
Абай,Пустынная,Остепненная пустыня (полупустыня),Ковыльно-типчаково-разнотравные закустаренные,225.0,110.0,165.0,22.0,33.0,132.0,198.0,154.0,230.0
Абай,Горная,Предгорья,Ковыльно-разнотравно-кустарниковые,200.0,75.0,115.0,15.0,23.0,90.0,138.0,105.0,160.0
Абай,Горная,Предгорья,Ковыльно-овсецово-таволговые с зарослями шиповника и березо-осиновыми колками,200.0,70.0,100.0,14.0,20.0,84.0,120.0,98.0,140.0
Абай,Горная,Предгорья,Ковыльно-злаковоразно-травные закустаренные,200.0,65.0,100.0,13.0,20.0,78.0,120.0,91.0,140.0
Абай,Горная,Межгорные впадины,Ковыльно-типчаково-разнотравные закустаренные,165.0,90.0,130.0,18.0,26.0,108.0,156.0,126.0,182.0
Абай,Горная,Межгорные впадины,Тырсово-полынные с биюргуном,165.0,130.0,200.0,26.0,40.0,156.0,240.0,182.0,280.0
Абай,Горная,Межгорные впадины,Ковыльно-разнотравно-кустарниковые,165.0,80.0,125.0,16.0,25.0,96.0,150.0,112.0,175.0
Абай,Горная,Межгорные впадины,Ковыльно-типчаково-кустарниковые,165.0,105.0,160.0,21.0,32.0,126.0,192.0,147.0,224.0
Абай,Горная,Горы,Ежово-разнотравные луговые,155.0,20.0,30.0,4.0,6.0,24.0,36.0,28.0,42.0
Абай,Горная,Горы,Кустарниково-злаково-разнотравные с таволгой,155.0,65.0,95.0,13.0,19.0,78.0,114.0,91.0,133.0
Абай,Горная,Горы,Ковыльно-разнотравно-кустарниковые,155.0,65.0,90.0,13.0,18.0,78.0,114.0,91.0,126.0
Абай,Горная,Горы,Злаково- разнотравные и осоково-разнотравные луга в зоне листвиничных лесов,155.0,15.0,25.0,3.0,5.0,18.0,36.0,21.0,42.0
Абай,Горная,Горы,Разнотравно-злаковые луговые местами закустаренные,155.0,25.0,35.0,5.0,7.0,30.0,42.0,35.0,49.0
Абай,Горная,Горы,Манжетко-злаковые с участием кобрезиевых лугов,155.0,45.0,65.0,9.0,13.0,54.0,78.0,63.0,91.0
Абай,Горная,Горы,Осоково-злаковые и кобрезиево-осоковые,155.0,60.0,90.0,12.0,18.0,72.0,108.0,84.0,126.0
Абай,Горная,Горы,Осоково-злаково-разнотравные,155.0,30.0,45.0,6.0,9.0,36.0,54.0,42.0,63.0
Абай,Горная,Горы,Разнотравно-ежоволуговые,155.0,20.0,30.0,4.0,6.0,24.0,36.0,28.0,42.0
Акмолинская,Степная,Умеренно-засушливая степь,Красноковыльно-разнотравные с вострецовыми лугами на солонцах,175.0,65.0,100.0,13.0,20.0,78.0,120.0,91.0,140.0
Акмолинская,Степная,Засушливая степь,Красноковыльно-овсецово-разнотравные с типчаково-полынными на солонцах,175.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Акмолинская,Степная,Засушливая степь,Красноковыльно-разнотравные с типчаково-полынными на солонцах,175.0,70.0,85.0,14.0,17.0,84.0,102.0,98.0,119.0
Акмолинская,Степная,Засушливая степь,Красноковыльно-типчаково-овсецовые,175.0,90.0,135.0,18.0,27.0,108.0,162.0,126.0,189.0
Акмолинская,Степная,Умеренно- сухая степь,Красноковыльно-овсецово-разнотравные с типчаково-полынными на солонцах,175.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Акмолинская,Степная,Умеренно- сухая степь,Ковыльно-типчаково-ксерофиторазнотравные,175.0,90.0,135.0,18.0,27.0,108.0,162.0,128.0,189.0
Акмолинская,Степная,Умеренно- сухая степь,"Вейниково-разнотравные, пырейные и тростниковые луга",175.0,80.0,155.0,16.0,24.0,98.0,146.0,112.0,167.0
Акмолинская,Степная,Умеренно- сухая степь,Ковыльно-типчаково-кустарниковые,175.0,95.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Акмолинская,Степная,Сухая степь,"Ковыльные, ковыльно-типчаково-полынные, местами закустаренные",175.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Акмолинская,Степная,Сухая степь,Ковыльно-типчаковые с полынно-типчаковыми на солонцах,175.0,100.0,150.0,20.0,30.0,120.0,180.0,114.0,168.0
Акмолинская,Степная,Сухая степь,Ковыльно-типчаково-кустарниковые,175.0,45.0,140.0,19.0,28.0,114.0,168.0,133.0,196.0
Актюбинская,Степная,Засушливая степь,Красноковыльно-ковылковые с чернополынными на солонцах,205.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Актюбинская,Степная,Засушливая степь,"Ковылковые, ковылково-типчаково-полынные, местами закустаренные",205.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Актюбинская,Степная,Умеренно-сухая степь,Типчаково-полынно-ковыльные,205.0,105.0,160.0,21.0,32.0,126.0,192.0,147.0,224.0
Актюбинская,Степная,Сухая степь,"Ковыльно-типчаковые, местами с пырейными тростниковыми лугами",205.0,100.0,150.0,20.0,30.0,120.0,180.0,120.0,210.0
Актюбинская,Степная,Сухая степь,Типчаково-ковыльно-полынные,205.0,95.0,145.0,19.0,29.0,114.0,174.0,133.0,203.0
Актюбинская,Степная,Сухая степь,Ковыльно-типчаково-полынные,205.0,95.0,145.0,19.0,29.0,114.0,174.0,133.0,203.0
Актюбинская,Степная,Опустыненная степь,Ковыльно-типчаково-полынные с чернополынными и солянково-полынными на солонцах,205.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Актюбинская,Пустынная,Остепненная пустыня (полупустыня),Ковыльно-типчаково-полынные с солянково-полынными и чернополынными на солонцах,205.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Актюбинская,Пустынная,Остепненная пустыня (полупустыня),Типчаково-полынные со злаковыми лугами,205.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
Актюбинская,Пустынная,Остепненная пустыня (полупустыня),Чернополынно-солянковые со злаковополынными,205.0,130.0,200.0,26.0,40.0,156.0,240.0,182.0,280.0
Актюбинская,Пустынная,Настоящая (средняя) пустыня,Серополынно-итсигековые с чернополынно-биюргуновыми,205.0,120.0,185.0,24.0,37.0,144.0,222.0,168.0,259.0
Актюбинская,Пустынная,Настоящая (средняя) пустыня,Шагырово-злаково-еркековые,205.0,100.0,145.0,20.0,29.0,120.0,174.0,140.0,203.0
Актюбинская,Пустынная,Настоящая (средняя) пустыня,Серополынно-мятликовые с серополынно-эбелековыми,205.0,105.0,160.0,21.0,32.0,126.0,192.0,147.0,224.0
Актюбинская,Пустынная,Настоящая (средняя) пустыня,Биюргуново-кейреуко-вые с кокпеково-полынными,205.0,95.0,145.0,19.0,29.0,114.0,174.0,133.0,203.0
Алматинская,Пустынная,Остепненная пустыня (полупустыня),Серопольнно-кейреуково-боялычевые,220.0,160.0,250.0,32.0,50.0,192.0,300.0,224.0,350.0
Алматинская,Пустынная,Остепненная пустыня (полупустыня),Еркеково-серополынные с разнотравно-эфемеровыми,220.0,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Алматинская,Пустынная,Остепненная пустыня (полупустыня),Серополынные-терескено изеневые с разнотравьем,220.0,190.0,295.0,38.0,59.0,228.0,354.0,262.0,413.0
Алматинская,Пустынная,Остепненная пустыня (полупустыня),Полынно-солянково-эфемеровые,220.0,145.0,215.0,29.0,43.0,174.0,258.0,203.0,301.0
Алматинская,Пустынная,Настоящая (средняя) пустыня,Серополынно-изеневотерес кеновые с разнотравьем - кустарниковыми,220.0,80.0,125.0,16.0,25.0,96.0,150.0,112.0,175.0
Алматинская,Пустынная,Настоящая (средняя) пустыня,Эфедрово-изенево-кустарниковые с терескеново-серополынными,220.0,140.0,210.0,28.0,42.0,168.0,252.0,196.0,294.0
Алматинская,Пустынная,Настоящая (средняя) пустыня,Эбелеково-серонолынно-эфемеровые с солянками и адраспаном,220.0,105.0,165.0,21.0,33.0,126.0,198.0,147.0,231.0
Алматинская,Пустынная,Настоящая (средняя) пустыня,Тростниково-разнотравье в сочетании с терескеново-жантаково-изеневыми,220.0,85.0,130.0,17.0,26.0,102.0,156.0,119.0,182.0
Алматинская,Горная,Предгорья,Солянковые закустаренные,205.0,150.0,240.0,30.0,48.0,180.0,288.0,210.0,336.0
